product_id,item_id,pt,brand,product_name,product_lifecycle_status,product_class_type,product_publish_status,primary_image_url,Item has published dups ?,count of published dups,published_dup_1,published_dup_2,published_dup_3,Comments,Remarks
32351ZIYJIEB,411341227,Projector Replacement Lamps,Aishtec,Sharp BQC-XGP10XE-1 Philips Projector Bare Lamp,ACTIVE,REGULAR,PUBLISHED,https://i5.walmartimages.com/asr/77ddf3bd-a366-42db-9b62-e7bc2a58018a.209fb22b2a7c09637567bbe9fae264d6.jpeg,No,,,,,No duplicate found,
73M2VN3ZVULD,14309662011,Pants,Ayolanni,Ayolanni Cargo Spring Pants for Women Plus Size Button Wide Leg Black High Waist Solid Pants Ladies Sweatpants,ACTIVE,VARIANT,PUBLISHED,https://i5.walmartimages.com/asr/55dd60b3-8c45-4d1b-b68d-41ce994caa75.b99e7562b4b3e2db27652e18d75d1f24.jpeg,No,,,,,No duplicate found,
5EAOW8EXR3B7,17971614418,Sweatshirts & Hoodies,Intoyouu,The Life of A Teacher Sweatshirt Comfort Colors Cute Teacher Life Shirt Back To School,ACTIVE,VARIANT,PUBLISHED,https://i5.walmartimages.com/asr/689ef5ee-ee34-4e53-b950-8e0cfc9893f2.f388823e218201b4000202e06dfd926e.jpeg,No,,,,,No duplicate found,
7BOCSIIWTJKW,15936650668,Backpacks,TKBIIuds,Howl'S Moving Castle Casual Backpacks Business Travel Shoulder Bag With Usb Interface Laptop Backpack For Office Work,ACTIVE,REGULAR,PUBLISHED,https://i5.walmartimages.com/asr/7cb3d581-3f41-4cff-956b-5770d2db1f21.6ca672ca34766100e2d553f009c71475.jpeg,No,,,,,No duplicate found,
6G3927H908Q1,16992567578,T-Shirts,Simple Fit,Simple Fit Super Duck Shirt Vintage Wrestling T-Shirt,ACTIVE,VARIANT,PUBLISHED,https://i5.walmartimages.com/asr/d641b8b1-7ccd-489a-9b67-506f0724edb4.53d041cfcd47d1574707d9a78e0c5c0a.jpeg,No,,,,,No duplicate found,
1OI2D8YT242C,16765407051,Curtains & Valances,Eclive,Floral Sheer Curtains - Flower Print Voile Window Panels with Light Filtering | Semi-Sheer Tulle Drapes for Living Room & Bedroom | Romantic Blossom Design Window Treatments,ACTIVE,VARIANT,PUBLISHED,https://i5.walmartimages.com/asr/4b5eba55-e07f-4ab9-8a2d-bacad69ce3fa_1.62e858b2c7a06a947683506fa8240d51.jpeg,No,,,,,No duplicate found,
55ARRC66XSVK,17895373454,Pants,Wagiet,"Women's High Waist Wide Leg Relaxes Body Pants - Loose Straight Elegant Dress Trousers,Soft Stretch Fabric, Work-Ready For Women,Size:L",ACTIVE,VARIANT,PUBLISHED,https://i5.walmartimages.com/asr/fc4e54e8-36b4-47ef-b783-a9b173bb6ae4.f62b1cfa750b63415a9e8ee9d6f8f8fa.jpeg,No,,,,,No duplicate found,
56423I1JKL2O,5760415676,Baseball Shirts,Fotbe,"Fotbe Snowflakes and Hearts Baseball Jersey Shirt for Men and Women, Casual Short Sleeves Button Down T-Shirt-XX-Large",ACTIVE,VARIANT,PUBLISHED,https://i5.walmartimages.com/asr/218c672c-53d3-4d9c-b480-66279d369558.36cd0c62eed5874d305ca96744955408.jpeg,No,,,,,No duplicate found,
1O74NE15NOCF,16816170652,T-Shirts,ANUNSHIRT,"ANUNSHIRT Rva Richmond Skyline Commonwealth Virginia Local Souvenir T-Shirt Unisex S-5XL Hot Trending Shirt, Vintage Birthday Gift",ACTIVE,VARIANT,PUBLISHED,https://i5.walmartimages.com/asr/3a9241fc-0bef-44bd-b6f0-9e0a9dc11612.e64038d7c51618f3ab6070ba292dec0e.webp,No,,,,,No duplicate found,
3A0RP402CGXV,5493553731,Scrub Jackets,CHMORA,CHMORA Scrubs for Women Tops Long Sleeve Pocket Working Crewneck Solid Color Single-breasted Protective Overalls Cardigan Jacket,ACTIVE,VARIANT,PUBLISHED,https://i5.walmartimages.com/asr/bef7884c-64af-4b5b-829d-16ea24381815.d1e2bf33f16f2e8894e3bce1c4e443f4.jpeg,No,,,,,No duplicate found,
